zip_code,Population,Percent_Pop_change,#Household,#Families,Avg_HouHol_size,House_Hold_with_child,Families_below_pov,Families_below_pov_with_child,#Housing,Avg_Housing_value,%Pop+16,race_white,race_black,race_indian,race_Asian,race_Hawaian,eth_Hispanic,eth_non-hispanic,sex_male,sex_female,HHincome_all,HHincome_white,HHincome_black,HHincome_indian,HHincome_Asian,HHincome_Hawaian,HHincome_Hispanic,HHincome_non-Hispanic,edu_Associate,edu_Bachelor,edu_Maters,edu_professional,edu_Doctorate,Children(0-14),Youth (15-24),Adults (25-64),Seniors (65+),race_two+,HHincome_two+,edu_uptoCollege level
84106,35716.0,8.25,15206.0,8604.0,2.32,0.2806129159542286,0.05590423059042306,0.038470478847047886,16179.0,504893.0,2.46,0.8311961025870758,0.02197894501063949,0.010135513495352223,0.046841751595923395,0.006775674767611155,3963.0,31753.0,17464.0,18252.0,84410.0,86588.0,52143.0,72500.0,41273.0,77679.0,78052.0,84913.0,0.08272976018026718,0.3089087397392564,0.13202156768066955,0.035047481088041205,0.022774826975696123,0.1899148840855639,0.11426251539926084,0.5523574868406317,0.04782170455818121,0.08307201254339791,83829.5,0.41851762433606954
84107,34940.0,8.33,14924.0,8841.0,2.33,0.29844545698204233,0.07827168872299514,0.05157787580590431,15908.0,482644.0,3.94,0.7813394390383515,0.04038351459645106,0.01768746422438466,0.04373211219232971,0.007727532913566113,5287.0,29653.0,16946.0,17994.0,66001.0,66667.0,46605.0,61429.0,88039.0,54167.0,56337.0,67570.0,0.08786083448884408,0.21513508970965167,0.08571788730618933,0.015588890289507962,0.011218958779780663,0.19293073840870062,0.12593016599885518,0.5362335432169434,0.04830185079183362,0.109129937034917,58816.5,0.5844783394260263
84108,21675.0,4.52,8436.0,5906.0,2.56,0.32930298719772405,0.07517778530308161,0.0457162207924145,9006.0,787616.0,3.19,0.8518569780853518,0.00908881199538639,0.003690888119953864,0.09116493656286044,0.0033679354094579006,881.0,20794.0,10718.0,10957.0,116937.0,125525.0,75000.0,75000.0,49737.0,46786.0,82440.0,118220.0,0.05410739808071871,0.3474443612604642,0.2039066222010481,0.09017899680119786,0.08663989654937726,0.19649365628604382,0.12562860438292964,0.5036216839677047,0.05808535178777393,0.04083044982698962,71212.0,0.2177227251071939
84109,24822.0,3.0,9307.0,6506.0,2.65,0.3313634898463522,0.03166308023363049,0.011988933292345526,9953.0,693654.0,2.26,0.8910643783740231,0.009829989525420997,0.005922165820642978,0.046249294980259446,0.005559584239787286,1147.0,23675.0,12135.0,12687.0,112346.0,114070.0,106250.0,92105.0,107622.0,77083.0,86813.0,113865.0,0.05255211660182336,0.3761105626850938,0.16288252714708787,0.055513617095406774,0.03820916323093897,0.1756506325034244,0.1305696559503666,0.5184110869390057,0.0584562082024011,0.04137458705986625,88430.0,0.3147320132396493
84111,12530.0,20.31,7038.0,2111.0,1.73,0.1452117078715544,0.09805779251539555,0.05163429654192326,7700.0,573375.0,2.85,0.7417398244213886,0.04054269752593775,0.021787709497206705,0.059696727853152436,0.010614525139664804,2445.0,10085.0,6635.0,5895.0,50335.0,49734.0,44130.0,64628.0,94583.0,75000.0,40100.0,52631.0,0.0716857263871241,0.2707539178314274,0.1199703515459551,0.041084286319356206,0.02424819991529013,0.13958499600957702,0.10670391061452514,0.6063846767757383,0.04910880553338654,0.12561851556264964,61657.5,0.4722575180008471
84112,131.0,11.97,23.0,4.0,2.78,0.08695652173913043,0.0,0.0,24.0,0.0,5.71,0.5877862595419847,0.03816793893129771,0.0,0.2824427480916031,0.0,7.0,124.0,73.0,58.0,22000.0,37500.0,14999.0,20000.0,14999.0,0.0,20000.0,23333.0,0.029411764705882353,0.2647058823529412,0.14705882352941177,0.029411764705882353,0.08823529411764706,0.022900763358778626,0.7175572519083969,0.25190839694656486,0.002544529262086514,0.0916030534351145,35000.0,0.4411764705882353
84113,2364.0,11.61,426.0,84.0,2.8,0.09624413145539906,0.03571428571428571,0.023809523809523808,443.0,945833.0,5.28,0.5867174280879864,0.03680203045685279,0.004230118443316413,0.2817258883248731,0.0025380710659898475,129.0,2235.0,1251.0,1113.0,25536.0,36224.0,36875.0,150000.0,14999.0,20000.0,23333.0,25943.0,0.02857142857142857,0.2857142857142857,0.12941176470588237,0.02689075630252101,0.08403361344537816,0.04949238578680203,0.6988155668358714,0.24450084602368866,0.0023970671178793006,0.08798646362098139,27222.0,0.44537815126050423
84115,27642.0,12.68,11637.0,5948.0,2.35,0.28933573945174873,0.14071956960322798,0.12273032952252858,12392.0,424237.0,3.99,0.6201070834237754,0.06363504811518704,0.0265537949497142,0.07358367701324071,0.011648940018811952,8310.0,19332.0,14298.0,13344.0,55112.0,58877.0,35797.0,44643.0,34936.0,39318.0,56501.0,54584.0,0.06646884272997032,0.1776099271648233,0.0774750472079849,0.006743997841920691,0.008632317237658484,0.2021561392084509,0.12730627306273062,0.560849432023732,0.03656271856836216,0.20447145647927067,75968.5,0.6630698678176423
84116,37950.0,13.17,11699.0,8031.0,3.21,0.44268740918027183,0.16286888307807246,0.12576266965508653,12340.0,324856.0,4.68,0.4971014492753623,0.061923583662714096,0.013491436100131753,0.05338603425559947,0.042397891963109356,18619.0,19331.0,19638.0,18312.0,62242.0,63941.0,47475.0,54464.0,73438.0,63859.0,56808.0,66497.0,0.08748932536293766,0.16707941929974382,0.04000853970964987,0.006362083689154569,0.006660973526900086,0.23583662714097497,0.14703557312252966,0.5207114624505929,0.032138779095300836,0.331699604743083,66553.5,0.692399658411614
84117,25725.0,7.11,10940.0,6649.0,2.32,0.2730347349177331,0.04436757407128891,0.022108587757557526,11620.0,723115.0,2.44,0.8690767735665695,0.014538386783284743,0.004742468415937804,0.04042759961127308,0.007308066083576288,1972.0,23753.0,12274.0,13451.0,85648.0,89038.0,84615.0,50000.0,68825.0,96875.0,60259.0,87112.0,0.06867953165654814,0.3068625325238508,0.1210429314830876,0.034366869037294016,0.024718126626192542,0.16773566569484938,0.11514091350826045,0.5028571428571429,0.07142209264658245,0.0639067055393586,54176.5,0.4443300086730269
